gold_id,module,requirement,acceptance_criteria,expected_techniques,must_cover,hallucination_guard
GS01,Authentication,"Người dùng đăng nhập bằng email và mật khẩu. Sau 5 lần nhập sai liên tiếp, tài khoản bị khóa 15 phút.",Email và mật khẩu bắt buộc; đúng thông tin thì đăng nhập; sai 5 lần khóa 15 phút; trong thời gian khóa không đăng nhập được.,"BVA, Negative testing, State transition",đúng thông tin; sai 1 lần; sai lần thứ 4; sai lần thứ 5; đăng nhập khi đang khóa; đăng nhập sau 15 phút,"Không tự thêm CAPTCHA, OTP hoặc social login."
GS02,Password Recovery,"Mã OTP đặt lại mật khẩu gồm đúng 6 chữ số, có hiệu lực 5 phút và chỉ được dùng một lần.",OTP đúng 6 số; trước hoặc đúng thời hạn hợp lệ theo đặc tả; hết hạn bị từ chối; OTP đã dùng không dùng lại.,"BVA, Negative testing, State transition",OTP 5 số; 6 số; 7 số; OTP hợp lệ; OTP hết hạn; tái sử dụng OTP,Không tự thêm giới hạn resend nếu requirement không nêu.
GS03,Booking,Khách hàng được chọn tối đa 8 ghế cho một suất chiếu.,Cho phép từ 1 đến 8 ghế; từ 9 ghế trở lên bị từ chối.,"BVA, Equivalence partitioning",1 ghế; 7 ghế; 8 ghế; 9 ghế; nhiều hơn 9 ghế,Không tự thêm giới hạn số booking mỗi ngày.
GS04,Booking,Không cho phép đặt ghế đã được người khác đặt thành công cho cùng suất chiếu.,Ghế còn trống được đặt; ghế đã đặt phải bị từ chối; hai người đặt đồng thời chỉ một người thành công.,"Negative testing, Concurrency",ghế trống; ghế đã đặt; hai request đồng thời,Không giả định cơ chế thanh toán hoặc hoàn tiền.
GS05,Payment,Thanh toán phải hoàn tất trong vòng 10 phút kể từ thời điểm giữ ghế.,Trong thời hạn cho phép thanh toán; quá thời hạn từ chối và giải phóng ghế.,"BVA, State transition",9:59:59; 10:00:00; 10:00:01; ghế được giải phóng khi quá hạn,Không tự thêm phương thức thanh toán.
GS06,Cancellation,Khách hàng chỉ được hủy booking trước giờ bắt đầu ít nhất 2 giờ.,Trước hơn 2 giờ được hủy; còn đúng hoặc dưới 2 giờ không được hủy.,"BVA, Negative testing",2:00:01 trước giờ; đúng 2:00:00; 1:59:59,Không tự thêm phí hủy.
GS07,Search,Tìm kiếm sản phẩm không phân biệt chữ hoa chữ thường và từ khóa rỗng trả về toàn bộ danh sách.,Kết quả tương đương cho hoa/thường; từ khóa rỗng không gây lỗi.,"Equivalence partitioning, Negative testing",từ khóa đúng; khác hoa thường; rỗng; không có kết quả; ký tự đặc biệt,Không tự tuyên bố hỗ trợ fuzzy search nếu không nêu.
GS08,File Upload,Chỉ chấp nhận tệp PDF tối đa 10 MB.,PDF <=10 MB hợp lệ; file khác PDF hoặc >10 MB bị từ chối.,"BVA, Equivalence partitioning",PDF nhỏ; đúng 10 MB; lớn hơn 10 MB; DOCX; PNG,Không tự thêm virus scanning.
GS09,User Management,Email người dùng phải duy nhất trong hệ thống.,Email chưa tồn tại tạo thành công; email đã tồn tại bị từ chối.,"Negative testing, Equivalence partitioning",email mới; email trùng; hai request tạo cùng email đồng thời,Không tự thêm xác minh email.
GS10,Authorization,Chỉ Manager được tạo và đổi tên Module.,Manager được phép; QA và Admin không được phép thực hiện chức năng này.,"Role-based testing, Negative testing",Manager create; Manager rename; QA create; Admin create,Không suy diễn Manager được xóa module.
GS11,Date Validation,Ngày kết thúc phải lớn hơn hoặc bằng ngày bắt đầu.,Ngày kết thúc sau hoặc bằng ngày bắt đầu hợp lệ; trước ngày bắt đầu không hợp lệ.,"BVA, Negative testing",end > start; end = start; end < start,Không tự thêm giới hạn số ngày tối đa.
GS12,Discount,Đơn hàng từ 1.000.000 đồng trở lên được giảm 10%.,Dưới ngưỡng không giảm; đúng hoặc trên ngưỡng giảm 10%.,BVA,999999; 1000000; 1000001,Không tự thêm mức giảm khác.
GS13,Inventory,Số lượng đặt mua không được vượt quá tồn kho hiện tại.,Số lượng <= tồn kho hợp lệ; vượt tồn kho bị từ chối.,"BVA, Concurrency",1; tồn kho-1; đúng tồn kho; tồn kho+1; hai khách mua phần tồn kho cuối cùng,Không tự thêm backorder.
GS14,Pagination,API danh sách nhận page từ 1 trở lên và page_size từ 1 đến 100.,Giá trị trong miền hợp lệ được chấp nhận; ngoài miền bị từ chối.,"BVA, Equivalence partitioning",page 0/1/2; page_size 0/1/100/101,Không tự thêm sort/filter.
GS15,Approval Workflow,Test case chỉ được approve khi đang ở trạng thái IN_REVIEW.,"IN_REVIEW -> APPROVED hợp lệ; DRAFT, NEEDS_FIX hoặc REJECTED không được approve trực tiếp.","State transition, Negative testing",IN_REVIEW approve; DRAFT approve; NEEDS_FIX approve; REJECTED approve,Không tự thêm quyền role ngoài requirement.
GS16,Session,Phiên đăng nhập hết hạn sau 30 phút không hoạt động.,Trước thời hạn vẫn hợp lệ; sau khi hết hạn phải yêu cầu đăng nhập lại.,"BVA, State transition",29:59:59; 30:00:00; 30:00:01; request sau timeout,Không tự thêm refresh token nếu không nêu.
